instance,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101_21,total_energy,standard_deviation,1.242446611893785,5.368842279943766,4.126395668049981,3.3211854968644245,regression,pass,candidate regressed because lower total_energy standard_deviation is better
c101_21,vehicle_count,best,14.0,14.0,0.0,0.0,unchanged,pass,vehicle_count best is equal within tolerance 1e-09
c101_21,vehicle_count,mean,14.0,14.0,0.0,0.0,unchanged,pass,vehicle_count mean is equal within tolerance 1e-09
c101_21,vehicle_count,median,14.0,14.0,0.0,0.0,unchanged,pass,vehicle_count median is equal within tolerance 1e-09
c101_21,vehicle_count,worst,14.0,14.0,0.0,0.0,unchanged,pass,vehicle_count worst is equal within tolerance 1e-09
c101_21,vehicle_count,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,vehicle_count standard_deviation is equal within tolerance 1e-09
c104C10,feasibility_rate,mean,1.0,1.0,0.0,0.0,unchanged,pass,feasibility_rate mean is equal within tolerance 1e-09
c104C10,iterations,best,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations best is equal within tolerance 1e-09
c104C10,iterations,mean,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations mean is equal within tolerance 1e-09
c104C10,iterations,median,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations median is equal within tolerance 1e-09
c104C10,iterations,worst,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations worst is equal within tolerance 1e-09
c104C10,iterations,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,iterations standard_deviation is equal within tolerance 1e-09
c104C10,runtime_seconds,best,0.355835416004993,0.3443077089978033,-0.011527707007189747,-0.03239617668362722,improvement,pass,candidate improved because lower runtime_seconds best is better
c104C10,runtime_seconds,mean,0.4977925970015349,0.48182188900197315,-0.01597070799956174,-0.03208305646922366,improvement,pass,candidate improved because lower runtime_seconds mean is better
c104C10,runtime_seconds,median,0.3929649170022458,0.38154600000416394,-0.01141891699808184,-0.029058362474675015,improvement,pass,candidate improved because lower runtime_seconds median is better
c104C10,runtime_seconds,worst,0.7445774579973659,0.7196119580039522,-0.024965499993413687,-0.0335297553333961,improvement,pass,candidate improved because lower runtime_seconds worst is better
c104C10,runtime_seconds,standard_deviation,0.17516035638546557,0.1688288290275944,-0.006331527357871153,-0.03614703400087698,improvement,pass,candidate improved because lower runtime_seconds standard_deviation is better
c104C10,total_charged_energy,best,169.78416126570522,169.78416126570522,0.0,0.0,unchanged,pass,total_charged_energy best is equal within tolerance 1e-09
c104C10,total_charged_energy,mean,176.74244117435285,176.74244117435285,0.0,0.0,unchanged,pass,total_charged_energy mean is equal within tolerance 1e-09
c104C10,total_charged_energy,median,180.22158112867666,180.22158112867666,0.0,0.0,unchanged,pass,total_charged_energy median is equal within tolerance 1e-09
c104C10,total_charged_energy,worst,180.22158112867666,180.22158112867666,0.0,0.0,unchanged,pass,total_charged_energy worst is equal within tolerance 1e-09
c104C10,total_charged_energy,standard_deviation,4.9202469087988465,4.9202469087988465,0.0,0.0,unchanged,pass,total_charged_energy standard_deviation is equal within tolerance 1e-09
c104C10,total_charging_time,best,589.1510395919971,589.1510395919971,0.0,0.0,unchanged,pass,total_charging_time best is equal within tolerance 1e-09
c104C10,total_charging_time,mean,613.2962708750043,613.2962708750043,0.0,0.0,unchanged,pass,total_charging_time mean is equal within tolerance 1e-09
c104C10,total_charging_time,median,625.368886516508,625.368886516508,0.0,0.0,unchanged,pass,total_charging_time median is equal within tolerance 1e-09
c104C10,total_charging_time,worst,625.368886516508,625.368886516508,0.0,0.0,unchanged,pass,total_charging_time worst is equal within tolerance 1e-09
c104C10,total_charging_time,standard_deviation,17.073256773532012,17.073256773532012,0.0,0.0,unchanged,pass,total_charging_time standard_deviation is equal within tolerance 1e-09
c104C10,total_distance,best,273.9312371287162,273.9312371287162,0.0,0.0,unchanged,pass,total_distance best is equal within tolerance 1e-09
c104C10,total_distance,mean,277.93249174868214,277.93249174868214,0.0,0.0,unchanged,pass,total_distance mean is equal within tolerance 1e-09
c104C10,total_distance,median,279.9331190586651,279.9331190586651,0.0,0.0,unchanged,pass,total_distance median is equal within tolerance 1e-09
c104C10,total_distance,worst,279.9331190586651,279.9331190586651,0.0,0.0,unchanged,pass,total_distance worst is equal within tolerance 1e-09
c104C10,total_distance,standard_deviation,2.829314275031924,2.829314275031924,0.0,0.0,unchanged,pass,total_distance standard_deviation is equal within tolerance 1e-09
c104C10,total_energy,best,273.9312371287162,273.9312371287162,0.0,0.0,unchanged,pass,total_energy best is equal within tolerance 1e-09
c104C10,total_energy,mean,277.93249174868214,277.93249174868214,0.0,0.0,unchanged,pass,total_energy mean is equal within tolerance 1e-09
c104C10,total_energy,median,279.9331190586651,279.9331190586651,0.0,0.0,unchanged,pass,total_energy median is equal within tolerance 1e-09
c104C10,total_energy,worst,279.9331190586651,279.9331190586651,0.0,0.0,unchanged,pass,total_energy worst is equal within tolerance 1e-09
c104C10,total_energy,standard_deviation,2.829314275031924,2.829314275031924,0.0,0.0,unchanged,pass,total_energy standard_deviation is equal within tolerance 1e-09
c104C10,vehicle_count,best,2.0,2.0,0.0,0.0,unchanged,pass,vehicle_count best is equal within tolerance 1e-09
c104C10,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,vehicle_count mean is equal within tolerance 1e-09
