run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt03,c101_21,2014,cache_stores,1237
stage03.2_cache_incremental_attempt03,c101_21,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c101_21,2014,incremental_propagations,40
stage03.2_cache_incremental_attempt03,c101_21,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,c101_21,2015,cache_hits,25197
stage03.2_cache_incremental_attempt03,c101_21,2015,cache_lookups,26393
stage03.2_cache_incremental_attempt03,c101_21,2015,cache_misses,1196
stage03.2_cache_incremental_attempt03,c101_21,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c101_21,2015,cache_stores,1196
stage03.2_cache_incremental_attempt03,c101_21,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c101_21,2015,incremental_propagations,40
stage03.2_cache_incremental_attempt03,c101_21,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,c101_21,2016,cache_hits,21049
stage03.2_cache_incremental_attempt03,c101_21,2016,cache_lookups,22302
stage03.2_cache_incremental_attempt03,c101_21,2016,cache_misses,1253
stage03.2_cache_incremental_attempt03,c101_21,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c101_21,2016,cache_stores,1253
stage03.2_cache_incremental_attempt03,c101_21,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c101_21,2016,incremental_propagations,40
stage03.2_cache_incremental_attempt03,c104C10,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,c104C10,2014,cache_hits,37868
stage03.2_cache_incremental_attempt03,c104C10,2014,cache_lookups,40170
stage03.2_cache_incremental_attempt03,c104C10,2014,cache_misses,2302
stage03.2_cache_incremental_attempt03,c104C10,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c104C10,2014,cache_stores,2302
stage03.2_cache_incremental_attempt03,c104C10,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c104C10,2014,incremental_propagations,36
stage03.2_cache_incremental_attempt03,c104C10,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,c104C10,2015,cache_hits,38421
