instance,seed,candidate_objective_key,attempt16_objective_key,rerun09_objective_key,vehicle_count_delta_vs_attempt16,classification,gate_status,reason
r105C5,2014,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",0,unchanged,pass,C5 objective key must match both historical Stage 2.3 baselines
r105C5,2015,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",0,unchanged,pass,C5 objective key must match both historical Stage 2.3 baselines
r105C5,2016,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",0,unchanged,pass,C5 objective key must match both historical Stage 2.3 baselines
rc101_21,2014,"[18, 1864.134231279, 339.406152772, 21]","[19, 1967.498078739, 339.208415916, 20]","[19, 1967.498078739, 339.208415916, 20]",-1,vehicle_guard_pass,pass,100-customer vehicle count guard against both historical baselines; wall-clock is time-budget variation
rc101_21,2015,"[17, 1858.973974128, 299.399931109, 19]","[19, 1925.362709303, 325.819224421, 19]","[19, 1925.362709303, 325.819224421, 19]",-2,vehicle_guard_pass,pass,100-customer vehicle count guard against both historical baselines; wall-clock is time-budget variation
rc101_21,2016,"[18, 1894.526198406, 371.87065287, 23]","[20, 2012.596419535, 376.592710958, 21]","[20, 2012.596419535, 376.592710958, 21]",-2,vehicle_guard_pass,pass,100-customer vehicle count guard against both historical baselines; wall-clock is time-budget variation
rc102C10,2014,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
rc102C10,2015,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
rc102C10,2016,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
rc103C15,2014,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
rc103C15,2015,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
rc103C15,2016,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
rc105C5,2014,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",0,unchanged,pass,C5 objective key must match both historical Stage 2.3 baselines
rc105C5,2015,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",0,unchanged,pass,C5 objective key must match both historical Stage 2.3 baselines
rc105C5,2016,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",0,unchanged,pass,C5 objective key must match both historical Stage 2.3 baselines
