experiment_id,instance,algorithm,seed,objective_schema,objective_key,primary_vehicle_count,secondary_total_distance,tertiary_total_charging_time,quaternary_charging_count,total_energy,total_charged_energy,status,feasible,proven_optimal,runtime_seconds,iterations,accepted_moves,improving_moves,rejected_moves,charging_subproblem_calls,charging_subproblem_average_seconds,root_search_bound,final_search_bound,search_gap,failure_reason,raw_log_path,solution_path
r105C15-alns_exact_charging-2014,r105C15,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,336.1536020996758,164.66141267798022,feasible,True,False,1.4308268329987186,1000,983,28,17,2365,0.0005696559420694011,,,,,raw/r105C15-alns_exact_charging-2014.json,solutions/r105C15-alns_exact_charging-2014.json
r105C15-alns_exact_charging-2015,r105C15,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,336.1536020996758,164.66141267798022,feasible,True,False,1.3421254999993835,1000,985,23,15,2378,0.00053212251429504,,,,,raw/r105C15-alns_exact_charging-2015.json,solutions/r105C15-alns_exact_charging-2015.json
r105C15-alns_exact_charging-2016,r105C15,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,336.1536020996758,164.66141267798022,feasible,True,False,1.4212953750029556,1000,973,20,27,2487,0.0005392415302649821,,,,,raw/r105C15-alns_exact_charging-2016.json,solutions/r105C15-alns_exact_charging-2016.json
rc103C15-alns_exact_charging-2014,rc103C15,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[4,397.669856913,67.687714099,4]",4,397.6698569130491,67.68771409904316,4,397.6698569130491,173.55824127959784,feasible,True,False,1.0019840829991153,1000,912,76,88,2686,0.00034143573719205795,,,,,raw/rc103C15-alns_exact_charging-2014.json,solutions/rc103C15-alns_exact_charging-2014.json
rc103C15-alns_exact_charging-2015,rc103C15,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[4,397.669856913,67.687714099,4]",4,397.6698569130491,67.68771409904316,4,397.6698569130491,173.55824127959784,feasible,True,False,0.8721636249974836,1000,889,74,111,2364,0.00033391701323870574,,,,,raw/rc103C15-alns_exact_charging-2015.json,solutions/rc103C15-alns_exact_charging-2015.json
rc103C15-alns_exact_charging-2016,rc103C15,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[4,397.669856913,67.687714099,4]",4,397.6698569130491,67.68771409904316,4,397.6698569130491,173.55824127959784,feasible,True,False,0.8900605419985368,1000,897,71,103,2426,0.0003315874138217506,,,,,raw/rc103C15-alns_exact_charging-2016.json,solutions/rc103C15-alns_exact_charging-2016.json
c101_21-alns_exact_charging-2014,c101_21,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[14,1254.131629406,1514.244653739,8]",14,1254.1316294059734,1514.2446537392946,8,1254.1316294059734,446.6798388611488,feasible,True,False,30.005126500000188,6,5,1,0,2030,0.014642286416730417,,,,,raw/c101_21-alns_exact_charging-2014.json,solutions/c101_21-alns_exact_charging-2014.json
c101_21-alns_exact_charging-2015,c101_21,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[14,1203.979724269,1467.041944497,8]",14,1203.979724268883,1467.0419444972429,8,1203.979724268883,432.7557358398946,feasible,True,False,30.050455249998777,11,10,3,0,2187,0.013668432200755384,,,,,raw/c101_21-alns_exact_charging-2015.json,solutions/c101_21-alns_exact_charging-2015.json
c101_21-alns_exact_charging-2016,c101_21,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[14,1204.062592272,1427.022733053,7]",14,1204.0625922715424,1427.0227330534772,7,1204.0625922715424,420.9506587178399,feasible,True,False,30.010422042003484,9,8,2,0,2041,0.01462738657132602,,,,,raw/c101_21-alns_exact_charging-2016.json,solutions/c101_21-alns_exact_charging-2016.json
r101_21-alns_exact_charging-2014,r101_21,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[28,2038.154620344,398.972704387,23]",28,2038.1546203440585,398.9727043874121,23,2038.1546203440585,831.1931341404419,feasible,True,False,30.007488292001653,7,6,4,0,2213,0.01347101977127965,,,,,raw/r101_21-alns_exact_charging-2014.json,solutions/r101_21-alns_exact_charging-2014.json
r101_21-alns_exact_charging-2015,r101_21,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[24,1876.503278666,390.503556565,23]",24,1876.503278665585,390.50355656494867,23,1876.503278665585,813.5490761769764,feasible,True,False,30.02450133399543,6,5,2,0,2131,0.013995096646130476,,,,,raw/r101_21-alns_exact_charging-2015.json,solutions/r101_21-alns_exact_charging-2015.json
r101_21-alns_exact_charging-2016,r101_21,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[28,2056.706910766,386.940108558,22]",28,2056.706910766294,386.94010855832687,22,2056.706910766294,806.1252261631811,feasible,True,False,30.00035137499799,7,6,2,0,2239,0.013312878212173607,,,,,raw/r101_21-alns_exact_charging-2016.json,solutions/r101_21-alns_exact_charging-2016.json
rc101_21-alns_exact_charging-2014,rc101_21,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[25,2220.432877103,345.035817838,19]",25,2220.432877102629,345.03581783840093,19,2220.432877102629,907.9889943115813,feasible,True,False,30.007174458005466,7,6,6,0,2392,0.012478315777511654,,,,,raw/rc101_21-alns_exact_charging-2014.json,solutions/rc101_21-alns_exact_charging-2014.json
rc101_21-alns_exact_charging-2015,rc101_21,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[24,2174.240741365,342.678896284,20]",24,2174.24074136497,342.6788962842006,20,2174.24074136497,901.786569168949,feasible,True,False,30.00479187500605,10,9,7,0,2520,0.011842452984100894,,,,,raw/rc101_21-alns_exact_charging-2015.json,solutions/rc101_21-alns_exact_charging-2015.json
