instance,seed,candidate_objective_key,stage03_objective_key,candidate_feasible,stage03_feasible,candidate_vehicle_count,stage03_vehicle_count,candidate_exact_calls,stage03_exact_calls,exact_call_delta,classification,gate_status,reason
r105C5,2015,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,22,38,-16,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
r105C5,2016,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,22,38,-16,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc101_21,2014,"[18, 1864.134231279, 339.406152772, 21]","[18, 1864.134231279, 339.406152772, 21]",True,True,18,18,1582,1763,-181,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc101_21,2015,"[17, 1859.245198811, 277.117471294, 19]","[17, 1858.973974128, 299.399931109, 19]",True,True,17,17,1539,1682,-143,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc101_21,2016,"[18, 1923.268676457, 366.75780921, 22]","[18, 1894.526198406, 371.87065287, 23]",True,True,18,18,1593,1737,-144,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc102C10,2014,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",True,True,4,4,136,183,-47,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc102C10,2015,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",True,True,4,4,123,172,-49,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc102C10,2016,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",True,True,4,4,138,185,-47,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc103C15,2014,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",True,True,4,4,867,1088,-221,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc103C15,2015,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",True,True,4,4,828,976,-148,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc103C15,2016,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",True,True,4,4,883,1077,-194,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc105C5,2014,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",True,True,2,2,22,43,-21,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc105C5,2015,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",True,True,2,2,22,42,-20,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc105C5,2016,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",True,True,2,2,22,42,-20,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
