acceptance_trajectory_hash,axis,backend,cache_lifecycle_valid,candidate_hashes_valid,candidate_reconciliation_valid,candidate_transaction_valid,candidate_work_hash,completed_calls,deadline_transaction_valid,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,recomputed_candidate_work_hash,recomputed_route_result_hash,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
f951b08ba9fb2a05a3a72dc7823dbd6fb321c38d33eb11805f51a705efda343c,serial_fixed_exact_calls,cpu_batch,True,True,True,True,cfa61f42604d3f790cf8f2a44ee027159b7ddb3c90ea2a18c1377cd33e4edc14,20,True,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,cfa61f42604d3f790cf8f2a44ee027159b7ddb3c90ea2a18c1377cd33e4edc14,6afc5707ec98852343f77119999aef688937086945ab2f4b7bfb9e8910acd7d6,6afc5707ec98852343f77119999aef688937086945ab2f4b7bfb9e8910acd7d6,2016,20,candidate_control_exhausted,0,True
f951b08ba9fb2a05a3a72dc7823dbd6fb321c38d33eb11805f51a705efda343c,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,cfa61f42604d3f790cf8f2a44ee027159b7ddb3c90ea2a18c1377cd33e4edc14,20,True,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,cfa61f42604d3f790cf8f2a44ee027159b7ddb3c90ea2a18c1377cd33e4edc14,6afc5707ec98852343f77119999aef688937086945ab2f4b7bfb9e8910acd7d6,6afc5707ec98852343f77119999aef688937086945ab2f4b7bfb9e8910acd7d6,2016,20,candidate_control_exhausted,0,True
9e618fbd5e11149a672d5a369b37412820be52d81979f7a5144fd76cb3f617ac,serial_wall_clock,cpu_batch,True,True,True,True,6cdba454d02d3eaedf1965ed0a574c0213d186a8afd14f104ba795413ede7a4c,23,True,109,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,6cdba454d02d3eaedf1965ed0a574c0213d186a8afd14f104ba795413ede7a4c,2b5ea8389e70ccaa63f8447e8404ca30e1323c8c86c053f60e9b244f6e3821f7,2b5ea8389e70ccaa63f8447e8404ca30e1323c8c86c053f60e9b244f6e3821f7,2016,23,wall_clock_deadline,0,True
9e618fbd5e11149a672d5a369b37412820be52d81979f7a5144fd76cb3f617ac,parallel_wall_clock,cpu_batch,True,True,True,True,6cdba454d02d3eaedf1965ed0a574c0213d186a8afd14f104ba795413ede7a4c,23,True,109,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,6cdba454d02d3eaedf1965ed0a574c0213d186a8afd14f104ba795413ede7a4c,2b5ea8389e70ccaa63f8447e8404ca30e1323c8c86c053f60e9b244f6e3821f7,2b5ea8389e70ccaa63f8447e8404ca30e1323c8c86c053f60e9b244f6e3821f7,2016,23,wall_clock_deadline,0,True
395f5269f738fda642d61ef389b9c8a38dbaf2120ecb1c879765b56c09e7dc63,serial_fixed_exact_calls,cpu_batch,True,True,True,True,2fa5cf69f26c3f7e0847b15a5ee5f71c86d4634612d4d4d074647ea07d7c459d,30,True,59,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,2fa5cf69f26c3f7e0847b15a5ee5f71c86d4634612d4d4d074647ea07d7c459d,edd27a4c7e0ea8fbdf9ec0ebfefb394a263e380fa8093868a4b5a77650c79816,edd27a4c7e0ea8fbdf9ec0ebfefb394a263e380fa8093868a4b5a77650c79816,2014,30,candidate_control_exhausted,0,True
395f5269f738fda642d61ef389b9c8a38dbaf2120ecb1c879765b56c09e7dc63,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,2fa5cf69f26c3f7e0847b15a5ee5f71c86d4634612d4d4d074647ea07d7c459d,30,True,59,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,2fa5cf69f26c3f7e0847b15a5ee5f71c86d4634612d4d4d074647ea07d7c459d,edd27a4c7e0ea8fbdf9ec0ebfefb394a263e380fa8093868a4b5a77650c79816,edd27a4c7e0ea8fbdf9ec0ebfefb394a263e380fa8093868a4b5a77650c79816,2014,30,candidate_control_exhausted,0,True
002da6f6a9f15fe9a675bf99ecac3e104a3f273af268de72244faeb0ca786970,serial_wall_clock,cpu_batch,True,True,True,True,77c0dd78a184c1a75160709786526fb4946bc28d61594b48cdc3afe06e0c61a2,32,True,124,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,77c0dd78a184c1a75160709786526fb4946bc28d61594b48cdc3afe06e0c61a2,81d72bfbd51c4ef6f5051c15a7531c8f79fa513b75eb39f429c1354f0dc0b2f5,81d72bfbd51c4ef6f5051c15a7531c8f79fa513b75eb39f429c1354f0dc0b2f5,2014,32,wall_clock_deadline,0,True
7a97b600afd9c21be5bbae44ac44a91a8a92c168cf186113d70c032176b53239,parallel_wall_clock,cpu_batch,True,True,True,True,77c0dd78a184c1a75160709786526fb4946bc28d61594b48cdc3afe06e0c61a2,32,True,124,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,77c0dd78a184c1a75160709786526fb4946bc28d61594b48cdc3afe06e0c61a2,81d72bfbd51c4ef6f5051c15a7531c8f79fa513b75eb39f429c1354f0dc0b2f5,81d72bfbd51c4ef6f5051c15a7531c8f79fa513b75eb39f429c1354f0dc0b2f5,2014,32,wall_clock_deadline,0,True
95ecab9cfd0feb7b03c67811aaaf6cd4e65382d8c65d23245a519a963012bf68,serial_fixed_exact_calls,cpu_batch,True,True,True,True,b761f443d601ae080a832ae6e297ed0a212776f2d54b6ecb30e46e310a94cfe6,25,True,55,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,b761f443d601ae080a832ae6e297ed0a212776f2d54b6ecb30e46e310a94cfe6,48776a7ae7f34da3d85fc67db7c400e7be5ec69af87eb446645675e0a8f9e7aa,48776a7ae7f34da3d85fc67db7c400e7be5ec69af87eb446645675e0a8f9e7aa,2015,25,candidate_control_exhausted,0,True
95ecab9cfd0feb7b03c67811aaaf6cd4e65382d8c65d23245a519a963012bf68,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,b761f443d601ae080a832ae6e297ed0a212776f2d54b6ecb30e46e310a94cfe6,25,True,55,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,b761f443d601ae080a832ae6e297ed0a212776f2d54b6ecb30e46e310a94cfe6,48776a7ae7f34da3d85fc67db7c400e7be5ec69af87eb446645675e0a8f9e7aa,48776a7ae7f34da3d85fc67db7c400e7be5ec69af87eb446645675e0a8f9e7aa,2015,25,candidate_control_exhausted,0,True
e464496c94b885be53350dcff93d59db5b4f5613b4ea4e429e54048059167395,serial_wall_clock,cpu_batch,True,True,True,True,d42ee80b9463ca26d7d2067389cf7bd3e4831f7aaba7bf317e5d9a3667be2bdf,32,True,121,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,d42ee80b9463ca26d7d2067389cf7bd3e4831f7aaba7bf317e5d9a3667be2bdf,381d6b2ea6ee1b135773280f83ebed82e978e69fe7d22a133820dd7c17eb4519,381d6b2ea6ee1b135773280f83ebed82e978e69fe7d22a133820dd7c17eb4519,2015,32,wall_clock_deadline,0,True
e7f2bc9a52a9e70ac06e0043414b9b69146d66ea81890035ba029fb5bead11be,parallel_wall_clock,cpu_batch,True,True,True,True,d42ee80b9463ca26d7d2067389cf7bd3e4831f7aaba7bf317e5d9a3667be2bdf,32,True,121,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,d42ee80b9463ca26d7d2067389cf7bd3e4831f7aaba7bf317e5d9a3667be2bdf,381d6b2ea6ee1b135773280f83ebed82e978e69fe7d22a133820dd7c17eb4519,381d6b2ea6ee1b135773280f83ebed82e978e69fe7d22a133820dd7c17eb4519,2015,32,wall_clock_deadline,0,True
f915d0a58601c6d1d90de71c172c98cdfe54b654414f1cbf06c9356556548bf8,serial_fixed_exact_calls,cpu_batch,True,True,True,True,7110417bb235bd69ac0da752be26b0ecc890e552ad4e010b4aae13922c65cc9b,35,True,99,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,7110417bb235bd69ac0da752be26b0ecc890e552ad4e010b4aae13922c65cc9b,5f05185bd120b49eb6da6bb21daa1815668e61b1c8f49edd9b0f67b3b6080075,5f05185bd120b49eb6da6bb21daa1815668e61b1c8f49edd9b0f67b3b6080075,2016,35,candidate_control_exhausted,0,True
f915d0a58601c6d1d90de71c172c98cdfe54b654414f1cbf06c9356556548bf8,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,7110417bb235bd69ac0da752be26b0ecc890e552ad4e010b4aae13922c65cc9b,35,True,99,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,7110417bb235bd69ac0da752be26b0ecc890e552ad4e010b4aae13922c65cc9b,5f05185bd120b49eb6da6bb21daa1815668e61b1c8f49edd9b0f67b3b6080075,5f05185bd120b49eb6da6bb21daa1815668e61b1c8f49edd9b0f67b3b6080075,2016,35,candidate_control_exhausted,0,True
9853ce633a8615ca87df1538f1325ad58c0d887e04bf1ff7196bb28843f0ff00,serial_wall_clock,cpu_batch,True,True,True,True,ad571d19c4c8003c34b8cbc56fdf87dd18b8624470290fdbb72f26f016ff65d1,36,True,130,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,ad571d19c4c8003c34b8cbc56fdf87dd18b8624470290fdbb72f26f016ff65d1,d566b94254020d43836d189fc10fd726811d9c4ecfa72a1e102189de8999a586,d566b94254020d43836d189fc10fd726811d9c4ecfa72a1e102189de8999a586,2016,36,wall_clock_deadline,0,True
3a768a5708fbbc79c8e81061d77b7ead62ef61bb6830c1d1eca838dded7c6931,parallel_wall_clock,cpu_batch,True,True,True,True,ad571d19c4c8003c34b8cbc56fdf87dd18b8624470290fdbb72f26f016ff65d1,36,True,127,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,ad571d19c4c8003c34b8cbc56fdf87dd18b8624470290fdbb72f26f016ff65d1,d566b94254020d43836d189fc10fd726811d9c4ecfa72a1e102189de8999a586,d566b94254020d43836d189fc10fd726811d9c4ecfa72a1e102189de8999a586,2016,36,wall_clock_deadline,0,True
61fcfa6f760b47915843c2af28daf029bf124a2b218b9a9d71fc6a475d9bd294,serial_fixed_exact_calls,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,50,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2014,2,candidate_control_exhausted,0,True
61fcfa6f760b47915843c2af28daf029bf124a2b218b9a9d71fc6a475d9bd294,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,50,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2014,2,candidate_control_exhausted,0,True
4bd3a5608dbd3e2aeec74c707e64b66e9a2391efaf4a802796a7bd571023be05,serial_wall_clock,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,1000,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2014,2,iteration_limit,0,True
4bd3a5608dbd3e2aeec74c707e64b66e9a2391efaf4a802796a7bd571023be05,parallel_wall_clock,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,1000,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2014,2,iteration_limit,0,True
3fa73bdbadd88ae83808ac157aca13c60531ca7ef5908d65041a347b20941ee1,serial_fixed_exact_calls,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,50,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2015,2,candidate_control_exhausted,0,True
3fa73bdbadd88ae83808ac157aca13c60531ca7ef5908d65041a347b20941ee1,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,50,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2015,2,candidate_control_exhausted,0,True
f15cce1e7680ab668ca227d6ad54249ea46f8c57d25aff72373a75a8262c6145,serial_wall_clock,cpu_batch,True,True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,2,True,1000,True,True,r105C5,"[2,156.082069464,44.159902941,2]",True,True,True,db6a7e82fcd190cb38d6800017db605aa52c6d20b93e0ba8c6a0bf33e57b168a,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,a2cca5c66521ae8f350342a2a5053f3ee77cb0c0d1dd1bc076bdd5cdac3a81e5,2015,2,iteration_limit,0,True
