"source_path","source_sha256","source_bytes","disposition","target_path","target_sha256","reason"
"tests/test_neighborhoods.py","c5a7fdc61dd440ae47348597d24a3d563a5ac5151cd621559c3ed13afd001dbf","16374","migrated_modified_publication","tests/test_neighborhoods.py","8eb674af907340868d9b2de46903b1a34d8319d218b764f0c3388a620284b7cf","Retained and updated for repository separation or publication packaging"
"tests/test_objective.py","a221e269d3580632fcd6c07ce298b8451ac955cc67d15a5a53d28101f0039792","3420","migrated_unchanged","tests/test_objective.py","a221e269d3580632fcd6c07ce298b8451ac955cc67d15a5a53d28101f0039792","Byte-identical scientific source retained"
"tests/test_ortools_vrptw_baseline.py","9af2a76600337b05d082a99d628c46050bc87d2687e42c76f34e20da2e88085f","2225","migrated_modified_publication","tests/test_ortools_vrptw_baseline.py","a761c00b958696eaee8bf93a3286d4e5962e5a39ab442149575b9f782886eb8f","Retained and updated for repository separation or publication packaging"
"tests/test_repository.py","4b46b0a8858e5075c9a2fa2e171161ec21052f1a777908e72024a8956bdd3afb","1424","migrated_modified_publication","tests/test_repository.py","fd4c9f2378d74dd2d5b95713c3072bc9da155d519ef0ee845066505cc81d3690","Retained and updated for repository separation or publication packaging"
"tests/test_stage00_baseline.py","7e95d3e4aad48c3dd4506d1ee084506ca47f38ae9c961619d874500bc8348b5b","11844","migrated_modified_publication","tests/test_stage00_baseline.py","72473037fe42a1e006ae464cbade1baf079d589d96028a4a6d39d91dc38abd8f","Retained and updated for repository separation or publication packaging"
"tests/test_stage01_objective_runner.py","9ea343fcc14d84c9a2afbee1b04afca6b4fdcfadfea54e3dad522d6292461f0a","6911","migrated_modified_publication","tests/test_stage01_objective_runner.py","1a193cdfbb3cc5eed244016f51ffbd33aa7a1e77f258239333b58e107cea2bfc","Retained and updated for repository separation or publication packaging"
"tests/test_stage02_constraint_guided.py","9b401032125dc96af53d7cac212f9cb94d505ada07d557fc5dacff3f39f9c5b5","6096","migrated_modified_publication","tests/test_stage02_constraint_guided.py","0c94110a39aa06b4bb05feee823d92b7a4d94fb9ddb98c850f165811e6b3b135","Retained and updated for repository separation or publication packaging"
"tests/test_stage02_route_quality.py","aada132c896eb9e6fbe41c9e6a1d13ce76a4a2cfa2c6bb39da8920f080645efc","1276","migrated_unchanged","tests/test_stage02_route_quality.py","aada132c896eb9e6fbe41c9e6a1d13ce76a4a2cfa2c6bb39da8920f080645efc","Byte-identical scientific source retained"
"tests/test_stage02_route_reduction.py","928075e1c9cd1cf4d66b3e2254eac8cd11592008715a8a88a028fcd95c525abf","1205","migrated_unchanged","tests/test_stage02_route_reduction.py","928075e1c9cd1cf4d66b3e2254eac8cd11592008715a8a88a028fcd95c525abf","Byte-identical scientific source retained"
"tests/test_stage031_cheap_screening.py","f33213f672b316ecbf6b179e5b8b56400e319e92daf94496d51cab653545957f","11148","migrated_modified_publication","tests/test_stage031_cheap_screening.py","57194266d04dc56919c0092959bff0e29529d6c73be7b952b635fdb2831a8177","Retained and updated for repository separation or publication packaging"
