acceptance_trajectory_hash,axis,backend,candidate_reconciliation_valid,candidate_work_hash,completed_calls,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
790b4d6c1ac875f43c81361e394b792f88d19005270f6d4659a472fea64226cc,parallel_wall_clock,cpu_batch,True,542fbe5f570fd6b937a5ad99cbc1ab6dbe69f457b17c3ed8731e26e60f7a8e90,67,1000,True,True,c104C10,"[2,273.931237129,589.151039592,3]",True,True,True,08f93e5296e428bec31a82894bc52c23bc59c3b975d4e007948bbb01f0585361,2014,67,iteration_limit,0,True
6f279c40b36b00b6a60df89636535bae78b2b7e726f3fcc44cb547b044564f1f,serial_fixed_exact_calls,cpu_batch,True,d7785e59d8a17ca9fa2786576ec235c01895213bce9e1a01896a655206b9c188,14,50,True,True,c104C10,"[2,279.933119059,625.368886517,3]",True,True,True,04b2cc98e786b84bb1dc1aa53f21cc31d2dc025966c401863770005489e3425d,2015,14,candidate_control_exhausted,0,True
6f279c40b36b00b6a60df89636535bae78b2b7e726f3fcc44cb547b044564f1f,parallel_fixed_exact_calls,cpu_batch,True,d7785e59d8a17ca9fa2786576ec235c01895213bce9e1a01896a655206b9c188,14,50,True,True,c104C10,"[2,279.933119059,625.368886517,3]",True,True,True,04b2cc98e786b84bb1dc1aa53f21cc31d2dc025966c401863770005489e3425d,2015,14,candidate_control_exhausted,0,True
b074d28be742f11b304dbec50c0ca6810cbdfa7f937c297795268b82e357203c,serial_wall_clock,cpu_batch,True,a497749a98d39132f025fe5d650dab1eae657f1bd65b4d10d3b1f8c73e227891,59,1000,True,True,c104C10,"[2,279.933119059,625.368886517,3]",True,True,True,c9af327c961b5ad97eb8d1b8d8e5d68eefb240bbecfdf9e86cc6c2401ae7c23f,2015,59,iteration_limit,0,True
b074d28be742f11b304dbec50c0ca6810cbdfa7f937c297795268b82e357203c,parallel_wall_clock,cpu_batch,True,a497749a98d39132f025fe5d650dab1eae657f1bd65b4d10d3b1f8c73e227891,59,1000,True,True,c104C10,"[2,279.933119059,625.368886517,3]",True,True,True,c9af327c961b5ad97eb8d1b8d8e5d68eefb240bbecfdf9e86cc6c2401ae7c23f,2015,59,iteration_limit,0,True
f8faf1aae196106720d5c2572976efc9d717d0e9e82255d79cf8c5d4b9fdd1be,serial_fixed_exact_calls,cpu_batch,True,e0a2a13ea75cf506737467b82db1247ff562c6822b31ee2de9669aeb7dc693a4,14,50,True,True,c104C10,"[2,279.933119059,625.368886517,3]",True,True,True,888934228c55c65b780bfc63b6457906a708008983e9353d1925bee443522638,2016,14,candidate_control_exhausted,0,True
f8faf1aae196106720d5c2572976efc9d717d0e9e82255d79cf8c5d4b9fdd1be,parallel_fixed_exact_calls,cpu_batch,True,e0a2a13ea75cf506737467b82db1247ff562c6822b31ee2de9669aeb7dc693a4,14,50,True,True,c104C10,"[2,279.933119059,625.368886517,3]",True,True,True,888934228c55c65b780bfc63b6457906a708008983e9353d1925bee443522638,2016,14,candidate_control_exhausted,0,True
291a72c66bd33068c9a498d7f7920c47fba60fda9c27a92768919e7a38cf2ba2,serial_wall_clock,cpu_batch,True,28540f97a093fbeb7c4635e62dfe66a59d37d69c75372fed8340da42a04620e9,94,1000,True,True,c104C10,"[2,273.931237129,589.151039592,3]",True,True,True,5e827725e183bebc484b24b73c742a530de009bc3358314e7d67a2dd5fa3e38e,2016,94,iteration_limit,0,True
291a72c66bd33068c9a498d7f7920c47fba60fda9c27a92768919e7a38cf2ba2,parallel_wall_clock,cpu_batch,True,28540f97a093fbeb7c4635e62dfe66a59d37d69c75372fed8340da42a04620e9,94,1000,True,True,c104C10,"[2,273.931237129,589.151039592,3]",True,True,True,5e827725e183bebc484b24b73c742a530de009bc3358314e7d67a2dd5fa3e38e,2016,94,iteration_limit,0,True
f01974b3229cadd45d21f26d10a1c039d80f7b791adc1547de6faf7201ebb687,serial_fixed_exact_calls,cpu_batch,True,66e6035d06b5fb25a57a743244770fd4beac73853e69cead25cbdbda2d5ab448,18,51,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,b21ad4475072f49803253189acde2ccba0180b710a8698468c7531f696326bc3,2014,18,candidate_control_exhausted,0,True
f01974b3229cadd45d21f26d10a1c039d80f7b791adc1547de6faf7201ebb687,parallel_fixed_exact_calls,cpu_batch,True,66e6035d06b5fb25a57a743244770fd4beac73853e69cead25cbdbda2d5ab448,18,51,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,b21ad4475072f49803253189acde2ccba0180b710a8698468c7531f696326bc3,2014,18,candidate_control_exhausted,0,True
e8db5a02a92db313a702f28e57583112833fc97f45a7c7ac3890fcffb67be7a1,serial_wall_clock,cpu_batch,True,9876bd26f29990773ec6b4d2cf460b91aefa5f7c8eb7e9d9dcc0aa82ccc47b36,58,1000,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,7ae05abdd2604ebc2af5b1e96c57b78e9172f9257d155d383711902e7c9e9394,2014,58,iteration_limit,0,True
e8db5a02a92db313a702f28e57583112833fc97f45a7c7ac3890fcffb67be7a1,parallel_wall_clock,cpu_batch,True,9876bd26f29990773ec6b4d2cf460b91aefa5f7c8eb7e9d9dcc0aa82ccc47b36,58,1000,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,7ae05abdd2604ebc2af5b1e96c57b78e9172f9257d155d383711902e7c9e9394,2014,58,iteration_limit,0,True
290e247e789f8bf04bb0f10ccfa3c82ba10a3de7cfd2e7f36ea0de175c5c95b9,serial_fixed_exact_calls,cpu_batch,True,8676b4dc187e0fb83ff6fcf937c465cf977c4fcf53246995b3423b8e6a54d3fc,16,70,True,True,c106C15,"[3,298.193048757,466.827628929,2]",True,True,True,dc2ae65fe12441237696a0ce0466496c78fe535c12ed8d4cee7f39baeb0e23e5,2015,16,candidate_control_exhausted,0,True
290e247e789f8bf04bb0f10ccfa3c82ba10a3de7cfd2e7f36ea0de175c5c95b9,parallel_fixed_exact_calls,cpu_batch,True,8676b4dc187e0fb83ff6fcf937c465cf977c4fcf53246995b3423b8e6a54d3fc,16,70,True,True,c106C15,"[3,298.193048757,466.827628929,2]",True,True,True,dc2ae65fe12441237696a0ce0466496c78fe535c12ed8d4cee7f39baeb0e23e5,2015,16,candidate_control_exhausted,0,True
19d8ffc986654bdf486361837dc85bfca5aa607cb30fddb5b3f8d3d34e508228,serial_wall_clock,cpu_batch,True,eb4e40c8dbb8d111a455fdab52fb76b431e8ca7ee6f6a3c62c46fffc2acf8591,67,1000,True,True,c106C15,"[3,298.193048757,466.827628929,2]",True,True,True,497d88de5295419a6c7480c30443c040e9ce57072ff50d81368deac1789bfdca,2015,67,iteration_limit,0,True
19d8ffc986654bdf486361837dc85bfca5aa607cb30fddb5b3f8d3d34e508228,parallel_wall_clock,cpu_batch,True,eb4e40c8dbb8d111a455fdab52fb76b431e8ca7ee6f6a3c62c46fffc2acf8591,67,1000,True,True,c106C15,"[3,298.193048757,466.827628929,2]",True,True,True,497d88de5295419a6c7480c30443c040e9ce57072ff50d81368deac1789bfdca,2015,67,iteration_limit,0,True
6cf0e4d9083c55247216ccb74ac84daea8776317fc25909e8239faea6dff1b16,serial_fixed_exact_calls,cpu_batch,True,3731fc2c8de6fe1da58e621bf6541caa6647d5423ac7fc7d39eaa4b8a47513dc,12,50,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,79f208fa41c9ee856a0f5a3c715954e57bba0391c98023edd429e961153d2978,2016,12,candidate_control_exhausted,0,True
6cf0e4d9083c55247216ccb74ac84daea8776317fc25909e8239faea6dff1b16,parallel_fixed_exact_calls,cpu_batch,True,3731fc2c8de6fe1da58e621bf6541caa6647d5423ac7fc7d39eaa4b8a47513dc,12,50,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,79f208fa41c9ee856a0f5a3c715954e57bba0391c98023edd429e961153d2978,2016,12,candidate_control_exhausted,0,True
6b8a5f287a9a026f0e66ff241362e4c028204709e23373e63b639c84eb6ed1b9,serial_wall_clock,cpu_batch,True,ea21d09ec8152b06a8ab4f79b779101ff77db06df993fd8420fe04aebfe40dce,51,1000,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,195b0031f390ca2bcb19e24c74c3493b428209eecf6657bc941745e4e170db8e,2016,51,iteration_limit,0,True
6b8a5f287a9a026f0e66ff241362e4c028204709e23373e63b639c84eb6ed1b9,parallel_wall_clock,cpu_batch,True,ea21d09ec8152b06a8ab4f79b779101ff77db06df993fd8420fe04aebfe40dce,51,1000,True,True,c106C15,"[3,275.133168873,437.989595186,2]",True,True,True,195b0031f390ca2bcb19e24c74c3493b428209eecf6657bc941745e4e170db8e,2016,51,iteration_limit,0,True
e44619af58bfe70af09d7a91e409542d38df277d75f2d4a0884cc8e3f130a910,serial_fixed_exact_calls,cpu_batch,True,2fa5cf69f26c3f7e0847b15a5ee5f71c86d4634612d4d4d074647ea07d7c459d,30,59,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,edd27a4c7e0ea8fbdf9ec0ebfefb394a263e380fa8093868a4b5a77650c79816,2014,30,candidate_control_exhausted,0,True
e44619af58bfe70af09d7a91e409542d38df277d75f2d4a0884cc8e3f130a910,parallel_fixed_exact_calls,cpu_batch,True,2fa5cf69f26c3f7e0847b15a5ee5f71c86d4634612d4d4d074647ea07d7c459d,30,59,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,edd27a4c7e0ea8fbdf9ec0ebfefb394a263e380fa8093868a4b5a77650c79816,2014,30,candidate_control_exhausted,0,True
9980576e2c0959a3eb47e9fb6615ee22cea1658024bb85152ba174342a1c362a,serial_wall_clock,cpu_batch,True,77c0dd78a184c1a75160709786526fb4946bc28d61594b48cdc3afe06e0c61a2,32,127,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,81d72bfbd51c4ef6f5051c15a7531c8f79fa513b75eb39f429c1354f0dc0b2f5,2014,32,wall_clock_deadline,0,True
87050225335cad3211db3ffdc0d610af0b057af446920b0d5c2e8d485efba50d,parallel_wall_clock,cpu_batch,True,77c0dd78a184c1a75160709786526fb4946bc28d61594b48cdc3afe06e0c61a2,32,125,True,True,r101_21,"[20,1735.080023474,396.51781678,23]",True,True,True,81d72bfbd51c4ef6f5051c15a7531c8f79fa513b75eb39f429c1354f0dc0b2f5,2014,32,wall_clock_deadline,0,True
