instance,seed,axis,backend,valid,objective_key,vehicle_count,runtime_seconds,iterations,effective_iterations,started_calls,completed_calls,interrupted_calls,infeasible_calls,exact_call_budget,budget_exhaustions,termination_reason,trace_reconciliation_status,provenance_valid,route_references_valid,candidate_rollback_valid,cache_lifecycle_valid,deadline_context_valid
r103C10,2014,fixed_exact_calls,cpu_batch,True,"[2,228.995610631,62.916454221,3]",2,0.0621145000004617,5,4,100,100,0,23,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r103C10,2014,wall_clock,cpu_batch,True,"[2,207.051154172,49.247992351,3]",2,1.852915708997898,1000,1000,797,797,0,289,,0,iteration_limit,pass,True,True,True,True,True
r103C10,2015,fixed_exact_calls,cpu_batch,True,"[2,228.995610631,62.916454221,3]",2,0.059239165999315446,5,4,100,100,0,21,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r103C10,2015,wall_clock,cpu_batch,True,"[2,207.051154172,49.247992351,3]",2,2.151176041999861,1000,1000,1135,1135,0,497,,0,iteration_limit,pass,True,True,True,True,True
r103C10,2016,fixed_exact_calls,cpu_batch,True,"[2,228.995610631,62.916454221,3]",2,0.06148354200195172,5,4,100,100,0,21,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r103C10,2016,wall_clock,cpu_batch,True,"[2,207.051154172,49.247992351,3]",2,1.9242604580031184,1000,1000,863,863,0,359,,0,iteration_limit,pass,True,True,True,True,True
r105C15,2014,fixed_exact_calls,cpu_batch,True,"[4,401.580273806,102.114295167,4]",4,0.1524250000002212,7,6,100,100,0,29,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r105C15,2014,wall_clock,cpu_batch,True,"[4,336.1536021,80.684092212,4]",4,3.4489407910004957,1000,1000,374,374,0,144,,0,iteration_limit,pass,True,True,True,True,True
r105C15,2015,fixed_exact_calls,cpu_batch,True,"[4,351.661603681,82.011137644,4]",4,0.13213249999898835,7,6,100,100,0,21,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r105C15,2015,wall_clock,cpu_batch,True,"[4,338.888543976,80.684092212,4]",4,3.1363912919987342,1000,1000,413,413,0,156,,0,iteration_limit,pass,True,True,True,True,True
r105C15,2016,fixed_exact_calls,cpu_batch,True,"[4,401.580273806,102.114295167,4]",4,0.13222454199785716,6,5,100,100,0,29,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r105C15,2016,wall_clock,cpu_batch,True,"[4,336.1536021,80.684092212,4]",4,3.0497087920011836,1000,1000,454,454,0,188,,0,iteration_limit,pass,True,True,True,True,True
r105C5,2014,fixed_exact_calls,cpu_batch,True,"[2,156.082069464,44.159902941,2]",2,0.259944124998583,1000,1000,22,22,0,8,100,0,iteration_limit,pass,True,True,True,True,True
r105C5,2014,wall_clock,cpu_batch,True,"[2,156.082069464,44.159902941,2]",2,0.25959962499837275,1000,1000,22,22,0,8,,0,iteration_limit,pass,True,True,True,True,True
