axis,count,instance,reason,seed,status
serial_fixed_exact_calls,74,c101_21,forward_time_window_prefilter,2016,negative_cache_hit
serial_fixed_exact_calls,19011,c101_21,,2016,pass
serial_fixed_exact_calls,6276,c101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,324,c101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,126,c101_21,capacity_prefilter,2016,rejected
serial_fixed_exact_calls,2692,c101_21,forward_time_window_prefilter,2016,rejected
parallel_fixed_exact_calls,6,c101_21,capacity_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,74,c101_21,forward_time_window_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,19011,c101_21,,2016,pass
parallel_fixed_exact_calls,6276,c101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,324,c101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,126,c101_21,capacity_prefilter,2016,rejected
parallel_fixed_exact_calls,2692,c101_21,forward_time_window_prefilter,2016,rejected
serial_wall_clock,6,c101_21,capacity_prefilter,2016,negative_cache_hit
serial_wall_clock,74,c101_21,forward_time_window_prefilter,2016,negative_cache_hit
serial_wall_clock,19055,c101_21,,2016,pass
serial_wall_clock,13598,c101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,702,c101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,126,c101_21,capacity_prefilter,2016,rejected
serial_wall_clock,2692,c101_21,forward_time_window_prefilter,2016,rejected
parallel_wall_clock,6,c101_21,capacity_prefilter,2016,negative_cache_hit
parallel_wall_clock,74,c101_21,forward_time_window_prefilter,2016,negative_cache_hit
parallel_wall_clock,19053,c101_21,,2016,pass
parallel_wall_clock,13598,c101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,702,c101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,126,c101_21,capacity_prefilter,2016,rejected
parallel_wall_clock,2692,c101_21,forward_time_window_prefilter,2016,rejected
serial_fixed_exact_calls,1000,r101_21,forward_time_window_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,33285,r101_21,,2014,pass
serial_fixed_exact_calls,2171,r101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,22529,r101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,2003,r101_21,forward_time_window_prefilter,2014,rejected
parallel_fixed_exact_calls,1000,r101_21,forward_time_window_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,33285,r101_21,,2014,pass
parallel_fixed_exact_calls,2171,r101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,22529,r101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,2003,r101_21,forward_time_window_prefilter,2014,rejected
serial_wall_clock,1000,r101_21,forward_time_window_prefilter,2014,negative_cache_hit
serial_wall_clock,33363,r101_21,,2014,pass
serial_wall_clock,3006,r101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,31194,r101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,2003,r101_21,forward_time_window_prefilter,2014,rejected
parallel_wall_clock,1000,r101_21,forward_time_window_prefilter,2014,negative_cache_hit
parallel_wall_clock,33363,r101_21,,2014,pass
parallel_wall_clock,3006,r101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,31194,r101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,2003,r101_21,forward_time_window_prefilter,2014,rejected
serial_fixed_exact_calls,875,r101_21,forward_time_window_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,31547,r101_21,,2015,pass
serial_fixed_exact_calls,810,r101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,16290,r101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,1986,r101_21,forward_time_window_prefilter,2015,rejected
parallel_fixed_exact_calls,875,r101_21,forward_time_window_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,31547,r101_21,,2015,pass
parallel_fixed_exact_calls,810,r101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,16290,r101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,1986,r101_21,forward_time_window_prefilter,2015,rejected
serial_wall_clock,875,r101_21,forward_time_window_prefilter,2015,negative_cache_hit
serial_wall_clock,31685,r101_21,,2015,pass
serial_wall_clock,1530,r101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,30770,r101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,1986,r101_21,forward_time_window_prefilter,2015,rejected
parallel_wall_clock,875,r101_21,forward_time_window_prefilter,2015,negative_cache_hit
parallel_wall_clock,31674,r101_21,,2015,pass
parallel_wall_clock,1530,r101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,30770,r101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,1986,r101_21,forward_time_window_prefilter,2015,rejected
serial_fixed_exact_calls,985,r101_21,forward_time_window_prefilter,2016,negative_cache_hit
serial_fixed_exact_calls,32627,r101_21,,2016,pass
serial_fixed_exact_calls,4059,r101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,33941,r101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,2001,r101_21,forward_time_window_prefilter,2016,rejected
parallel_fixed_exact_calls,985,r101_21,forward_time_window_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,32627,r101_21,,2016,pass
parallel_fixed_exact_calls,4059,r101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,33941,r101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,2001,r101_21,forward_time_window_prefilter,2016,rejected
serial_wall_clock,985,r101_21,forward_time_window_prefilter,2016,negative_cache_hit
serial_wall_clock,32694,r101_21,,2016,pass
serial_wall_clock,4843,r101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,40757,r101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,2001,r101_21,forward_time_window_prefilter,2016,rejected
parallel_wall_clock,985,r101_21,forward_time_window_prefilter,2016,negative_cache_hit
parallel_wall_clock,32694,r101_21,,2016,pass
parallel_wall_clock,4843,r101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,40757,r101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,2001,r101_21,forward_time_window_prefilter,2016,rejected
serial_fixed_exact_calls,9,r105C5,forward_time_window_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,146,r105C5,,2014,pass
serial_fixed_exact_calls,40,r105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,25,r105C5,forward_time_window_prefilter,2014,rejected
parallel_fixed_exact_calls,9,r105C5,forward_time_window_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,146,r105C5,,2014,pass
parallel_fixed_exact_calls,40,r105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,25,r105C5,forward_time_window_prefilter,2014,rejected
serial_wall_clock,9,r105C5,forward_time_window_prefilter,2014,negative_cache_hit
serial_wall_clock,462,r105C5,,2014,pass
serial_wall_clock,330,r105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,25,r105C5,forward_time_window_prefilter,2014,rejected
parallel_wall_clock,9,r105C5,forward_time_window_prefilter,2014,negative_cache_hit
parallel_wall_clock,462,r105C5,,2014,pass
parallel_wall_clock,330,r105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,25,r105C5,forward_time_window_prefilter,2014,rejected
serial_fixed_exact_calls,9,r105C5,forward_time_window_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,158,r105C5,,2015,pass
serial_fixed_exact_calls,40,r105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,25,r105C5,forward_time_window_prefilter,2015,rejected
parallel_fixed_exact_calls,9,r105C5,forward_time_window_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,158,r105C5,,2015,pass
parallel_fixed_exact_calls,40,r105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,25,r105C5,forward_time_window_prefilter,2015,rejected
serial_wall_clock,9,r105C5,forward_time_window_prefilter,2015,negative_cache_hit
serial_wall_clock,502,r105C5,,2015,pass
serial_wall_clock,265,r105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,25,r105C5,forward_time_window_prefilter,2015,rejected
