axis,instance,not_worse,objective_key,seed,stage033_wall_clock_objective
serial_fixed_exact_calls,r105C15,True,"[4,336.1536021,80.684092212,4]",2016,"[4,336.1536021,80.684092212,4]"
parallel_fixed_exact_calls,r105C15,True,"[4,336.1536021,80.684092212,4]",2016,"[4,336.1536021,80.684092212,4]"
serial_wall_clock,r105C15,True,"[4,336.1536021,80.684092212,4]",2016,"[4,336.1536021,80.684092212,4]"
parallel_wall_clock,r105C15,True,"[4,336.1536021,80.684092212,4]",2016,"[4,336.1536021,80.684092212,4]"
serial_fixed_exact_calls,r105C5,True,"[2,156.082069464,44.159902941,2]",2014,"[2,156.082069464,44.159902941,2]"
parallel_fixed_exact_calls,r105C5,True,"[2,156.082069464,44.159902941,2]",2014,"[2,156.082069464,44.159902941,2]"
serial_wall_clock,r105C5,True,"[2,156.082069464,44.159902941,2]",2014,"[2,156.082069464,44.159902941,2]"
parallel_wall_clock,r105C5,True,"[2,156.082069464,44.159902941,2]",2014,"[2,156.082069464,44.159902941,2]"
serial_fixed_exact_calls,r105C5,True,"[2,156.082069464,44.159902941,2]",2015,"[2,156.082069464,44.159902941,2]"
parallel_fixed_exact_calls,r105C5,True,"[2,156.082069464,44.159902941,2]",2015,"[2,156.082069464,44.159902941,2]"
serial_wall_clock,r105C5,True,"[2,156.082069464,44.159902941,2]",2015,"[2,156.082069464,44.159902941,2]"
parallel_wall_clock,r105C5,True,"[2,156.082069464,44.159902941,2]",2015,"[2,156.082069464,44.159902941,2]"
serial_fixed_exact_calls,r105C5,True,"[2,156.082069464,44.159902941,2]",2016,"[2,156.082069464,44.159902941,2]"
parallel_fixed_exact_calls,r105C5,True,"[2,156.082069464,44.159902941,2]",2016,"[2,156.082069464,44.159902941,2]"
serial_wall_clock,r105C5,True,"[2,156.082069464,44.159902941,2]",2016,"[2,156.082069464,44.159902941,2]"
parallel_wall_clock,r105C5,True,"[2,156.082069464,44.159902941,2]",2016,"[2,156.082069464,44.159902941,2]"
serial_fixed_exact_calls,rc101_21,True,"[18,1863.274097528,312.76300404,20]",2014,"[18,1863.274097528,312.76300404,20]"
parallel_fixed_exact_calls,rc101_21,True,"[18,1863.274097528,312.76300404,20]",2014,"[18,1863.274097528,312.76300404,20]"
serial_wall_clock,rc101_21,True,"[18,1863.274097528,312.76300404,20]",2014,"[18,1863.274097528,312.76300404,20]"
