axis,backend,batch_launches,batch_size,budget_exhaustions,checkpoint_count,completed_calls,exact_call_budget,exact_calls,instance,interrupted_calls,label_management_seconds,mode,packing_seconds,schema_version,seed,started_calls,total_seconds,transition_batches,transition_seconds,transitions,unpacking_seconds,watchdog_seconds,work_batches
parallel_fixed_exact_calls,cpu_batch,18,128,0,2278,18,100,18,c106C15,0,0.009895929804770276,exact_call_budget,0.00029116697260178626,stage033-exact-deadline-v1,2014,18,0.010990001013851725,1050,0.0010940712090814486,3572,0.0003377920074854046,120.0,18
serial_wall_clock,cpu_batch,56,128,0,7430,58,,58,c106C15,0,0.03324589901603758,wall_clock,0.0005671260296367109,stage033-exact-deadline-v1,2014,58,0.03715604201715905,3422,0.003910143001121469,11902,0.0009371259802719578,,56
parallel_wall_clock,cpu_batch,58,128,0,7620,58,,58,c106C15,0,0.03243773806025274,wall_clock,0.000881956031662412,stage033-exact-deadline-v1,2014,58,0.036154503977741115,3506,0.003716765917488374,11902,0.0011023330444004387,,58
serial_fixed_exact_calls,cpu_batch,14,128,0,1764,16,100,16,c106C15,0,0.008052669072640128,exact_call_budget,0.00013454003783408552,stage033-exact-deadline-v1,2015,16,0.008936959042330272,780,0.0008842899696901441,2854,0.00029283300682436675,120.0,14
parallel_fixed_exact_calls,cpu_batch,16,128,0,1906,16,100,16,c106C15,0,0.010086740017868578,exact_call_budget,0.0002727940009208396,stage033-exact-deadline-v1,2015,16,0.011084334997576661,840,0.000997594979708083,2854,0.0004813340201508254,120.0,16
serial_wall_clock,cpu_batch,65,128,0,8366,67,,67,c106C15,0,0.03645221740589477,wall_clock,0.0007826290093362331,stage033-exact-deadline-v1,2015,67,0.04051858694583643,3712,0.004066369539941661,12849,0.0013366169878281653,,65
parallel_wall_clock,cpu_batch,67,128,0,8508,67,,67,c106C15,0,0.039040932068019174,wall_clock,0.0011023780389223248,stage033-exact-deadline-v1,2015,67,0.04334708796523046,3772,0.0043061558972112834,12849,0.0016084120579762384,,67
serial_fixed_exact_calls,cpu_batch,10,128,0,1520,12,100,12,c106C15,0,0.00697747508820612,exact_call_budget,0.00011079298565164208,stage033-exact-deadline-v1,2016,12,0.007809916001860984,694,0.0008324409136548638,2656,0.00018070594524033368,120.0,10
parallel_fixed_exact_calls,cpu_batch,12,128,0,1710,12,100,12,c106C15,0,0.007870136061683297,exact_call_budget,0.000209955993341282,stage033-exact-deadline-v1,2016,12,0.008755043993005529,778,0.0008849079313222319,2656,0.0002743740187725052,120.0,12
serial_wall_clock,cpu_batch,49,128,0,6642,51,,51,c106C15,0,0.030687754770042375,wall_clock,0.0004630859912140295,stage033-exact-deadline-v1,2016,51,0.03402313000697177,3050,0.0033353752369293943,10657,0.0008766239625401795,,49
parallel_wall_clock,cpu_batch,51,128,0,6832,51,,51,c106C15,0,0.029463689133990556,wall_clock,0.0008479960524709895,stage033-exact-deadline-v1,2016,51,0.032840170970303006,3134,0.0033764818363124505,10657,0.0010878320317715406,,51
serial_fixed_exact_calls,cpu_batch,11,128,0,8504,30,100,30,r101_21,0,0.303605398410582,exact_call_budget,0.0005079579714220017,stage033-exact-deadline-v1,2014,30,0.3520824990264373,3370,0.048477100615855306,168892,0.0016779999859863892,120.0,11
parallel_fixed_exact_calls,cpu_batch,14,128,0,11134,30,100,30,r101_21,0,0.35513887809065636,exact_call_budget,0.0009156239975709468,stage033-exact-deadline-v1,2014,30,0.410720707004657,4088,0.05558182891400065,168892,0.0017347110115224496,120.0,14
serial_wall_clock,cpu_batch,13,128,0,9046,32,,32,r101_21,0,0.31730859966774005,wall_clock,0.0005598339630523697,stage033-exact-deadline-v1,2014,32,0.36875279201194644,3530,0.051444192344206385,172274,0.0015926660125842318,,13
parallel_wall_clock,cpu_batch,16,128,0,11676,32,,32,r101_21,0,0.3569631726713851,wall_clock,0.0010332910023862496,stage033-exact-deadline-v1,2014,32,0.4117511230579112,4248,0.05478795038652606,172274,0.0019423739868216217,,16
serial_fixed_exact_calls,cpu_batch,6,128,0,5308,25,100,25,r101_21,0,0.6079253468342358,exact_call_budget,0.0004471239954000339,stage033-exact-deadline-v1,2015,25,0.6496327909844695,2540,0.04170744415023364,142767,0.0011127930047223344,120.0,6
parallel_fixed_exact_calls,cpu_batch,9,128,0,7700,25,100,25,r101_21,0,0.29152161098318174,exact_call_budget,0.0005910839972784743,stage033-exact-deadline-v1,2015,25,0.3382536239660112,3056,0.046732012982829474,142767,0.0014441250241361558,120.0,9
serial_wall_clock,cpu_batch,13,128,0,9334,32,,32,r101_21,0,0.31812831317074597,wall_clock,0.0005855819763382897,stage033-exact-deadline-v1,2015,32,0.3704249160073232,4144,0.05229660283657722,176610,0.0014792489673709497,,13
parallel_wall_clock,cpu_batch,16,128,0,11726,32,,32,r101_21,0,0.35072096303338185,wall_clock,0.0009207489929394796,stage033-exact-deadline-v1,2015,32,0.40630712498386856,4660,0.05558616195048671,176610,0.0020576649985741824,,16
serial_fixed_exact_calls,cpu_batch,16,128,0,10944,35,100,35,r101_21,0,0.35039194459386636,exact_call_budget,0.000673082991852425,stage033-exact-deadline-v1,2016,35,0.4064877900236752,4846,0.05609584542980883,196161,0.001799417004804127,120.0,16
parallel_fixed_exact_calls,cpu_batch,19,128,0,13746,35,100,35,r101_21,0,0.40467267243366223,exact_call_budget,0.000909956987015903,stage033-exact-deadline-v1,2016,35,0.4667666220047977,5402,0.062093949571135454,196161,0.0021534989937208593,120.0,19
serial_wall_clock,cpu_batch,17,128,0,11488,36,,36,r101_21,0,0.3753602639771998,wall_clock,0.0007462070207111537,stage033-exact-deadline-v1,2016,36,0.4374711249693064,5086,0.06211086099210661,201220,0.0019729589839698747,,17
parallel_wall_clock,cpu_batch,20,128,0,14290,36,,36,r101_21,0,0.4011066427046899,wall_clock,0.0012189590343041345,stage033-exact-deadline-v1,2016,36,0.4636393740074709,5642,0.06253273130278103,201220,0.002159208001103252,,20
serial_fixed_exact_calls,cpu_batch,26,128,0,3226,27,100,27,r103C10,0,0.013362067067646421,exact_call_budget,0.00020033502369187772,stage033-exact-deadline-v1,2014,27,0.014976084014051594,1538,0.0016140169464051723,5359,0.00035133399069309235,120.0,26
parallel_fixed_exact_calls,cpu_batch,27,128,0,3316,27,100,27,r103C10,0,0.014535591952153482,exact_call_budget,0.0004010419943369925,stage033-exact-deadline-v1,2014,27,0.016210456000408158,1582,0.0016748640482546762,5359,0.0004769959778059274,120.0,27
serial_wall_clock,cpu_batch,137,128,0,20892,138,,138,r103C10,0,0.10823140788124874,wall_clock,0.001171168201835826,stage033-exact-deadline-v1,2014,138,0.11862875097722281,9962,0.010397343095974065,34212,0.002154715941287577,,137
parallel_wall_clock,cpu_batch,138,128,0,20982,138,,138,r103C10,0,0.09197225653042551,wall_clock,0.0018471579242032021,stage033-exact-deadline-v1,2014,138,0.10280700000294019,10006,0.010834743472514674,34212,0.0028648239822359756,,138
serial_fixed_exact_calls,cpu_batch,31,128,0,3804,32,100,32,r103C10,0,0.01613728686061222,exact_call_budget,0.00021341706451494247,stage033-exact-deadline-v1,2015,32,0.0180672050191788,1796,0.0019299181585665792,6228,0.0004813760460820049,120.0,31
parallel_fixed_exact_calls,cpu_batch,32,128,0,3894,32,100,32,r103C10,0,0.01890390124754049,exact_call_budget,0.000407503976020962,stage033-exact-deadline-v1,2015,32,0.02106125300633721,1840,0.0021573517587967217,6228,0.0006852869701106101,120.0,32
serial_wall_clock,cpu_batch,85,128,0,11272,86,,86,r103C10,0,0.04899383432348259,wall_clock,0.0006627529946854338,stage033-exact-deadline-v1,2015,86,0.054761383988079615,5292,0.005767549664597027,18126,0.001248830056283623,,85
parallel_wall_clock,cpu_batch,86,128,0,11362,86,,86,r103C10,0,0.04979905208165292,wall_clock,0.0011839170038001612,stage033-exact-deadline-v1,2015,86,0.055752372994902544,5336,0.005953320913249627,18126,0.0017757909517968073,,86
serial_fixed_exact_calls,cpu_batch,13,128,0,1780,14,100,14,r103C10,0,0.007461777058779262,exact_call_budget,0.0001002530480036512,stage033-exact-deadline-v1,2016,14,0.008352834003744647,834,0.0008910569449653849,2982,0.00018858299881685525,120.0,13
parallel_fixed_exact_calls,cpu_batch,14,128,0,1870,14,100,14,r103C10,0,0.00856221525464207,exact_call_budget,0.0002007930161198601,stage033-exact-deadline-v1,2016,14,0.009542999032419175,878,0.0009807837777771056,2982,0.00031879298330750316,120.0,14
serial_wall_clock,cpu_batch,101,128,0,13776,102,,102,r103C10,0,0.05769763659918681,wall_clock,0.0008769199921516702,stage033-exact-deadline-v1,2016,102,0.06444750104856212,6478,0.006749864449375309,22200,0.0014767939428566024,,101
parallel_wall_clock,cpu_batch,102,128,0,13866,102,,102,r103C10,0,0.06130109971854836,wall_clock,0.0014158779522404075,stage033-exact-deadline-v1,2016,102,0.06845358497230336,6522,0.007152485253755003,22200,0.001865960017312318,,102
serial_fixed_exact_calls,cpu_batch,9,128,0,1310,12,100,12,r105C15,0,0.0101858623966109,exact_call_budget,0.00010850002581719309,stage033-exact-deadline-v1,2014,12,0.011574543008464389,494,0.0013886806118534878,4244,0.0002824990078806877,120.0,9
parallel_fixed_exact_calls,cpu_batch,12,128,0,1716,12,100,12,r105C15,0,0.009735811821883544,exact_call_budget,0.00023445903207175434,stage033-exact-deadline-v1,2014,12,0.011049997017835267,670,0.0013141851959517226,4244,0.00034562400833237916,120.0,12
serial_wall_clock,cpu_batch,64,128,0,9006,67,,67,r105C15,0,0.05312279185454827,wall_clock,0.0006316659855656326,stage033-exact-deadline-v1,2014,67,0.06061396005679853,3912,0.007491168202250265,25727,0.0012005029566353187,,64
parallel_wall_clock,cpu_batch,67,128,0,9412,67,,67,r105C15,0,0.05684166538412683,wall_clock,0.00116049699136056,stage033-exact-deadline-v1,2014,67,0.06480603902309667,4088,0.007964373638969846,25727,0.0016080400091595948,,67
serial_fixed_exact_calls,cpu_batch,13,128,0,1650,16,100,16,r105C15,0,0.012622394075151533,exact_call_budget,0.00012445803440641612,stage033-exact-deadline-v1,2015,16,0.014312041021184996,720,0.0016896469460334629,5676,0.00026908397558145225,120.0,13
parallel_fixed_exact_calls,cpu_batch,16,128,0,2080,16,100,16,r105C15,0,0.013512151112081483,exact_call_budget,0.00028933098656125367,stage033-exact-deadline-v1,2015,16,0.015316000004531816,904,0.0018038488924503326,5676,0.00042641497566364706,120.0,16
serial_wall_clock,cpu_batch,63,128,0,9118,66,,66,r105C15,0,0.05421955844212789,wall_clock,0.0006183409568620846,stage033-exact-deadline-v1,2015,66,0.06201571298879571,4010,0.007796154546667822,26330,0.0011701240146066993,,63
parallel_wall_clock,cpu_batch,66,128,0,9548,66,,66,r105C15,0,0.05426152293512132,wall_clock,0.0011146229662699625,stage033-exact-deadline-v1,2015,66,0.06193958500807639,4194,0.007678062072955072,26330,0.0013808750081807375,,66
serial_fixed_exact_calls,cpu_batch,11,128,0,1604,14,100,14,r105C15,0,0.010754508242825978,exact_call_budget,0.00010516896145418286,stage033-exact-deadline-v1,2016,14,0.012366501003270969,688,0.0016119927604449913,5448,0.0002577090199338272,120.0,11
parallel_fixed_exact_calls,cpu_batch,14,128,0,2010,14,100,14,r105C15,0,0.013101538934279233,exact_call_budget,0.0002648749650688842,stage033-exact-deadline-v1,2016,14,0.015011207040515728,864,0.001909668106236495,5448,0.0003771229967242107,120.0,14
serial_wall_clock,cpu_batch,64,128,0,8880,67,,67,r105C15,0,0.05317247881612275,wall_clock,0.0007626730075571686,stage033-exact-deadline-v1,2016,67,0.060867958032758906,3824,0.0076954792166361585,25123,0.0013132899912307039,,64
parallel_wall_clock,cpu_batch,67,128,0,9286,67,,67,r105C15,0,0.05507853614108171,wall_clock,0.001046911027515307,stage033-exact-deadline-v1,2016,67,0.06281788001069799,4000,0.0077393438696162775,25123,0.0016269970074063167,,67
serial_fixed_exact_calls,cpu_batch,1,128,0,54,2,100,2,r105C5,0,0.00041412397695239633,exact_call_budget,1.1957992683164775e-05,stage033-exact-deadline-v1,2014,2,0.0004578340012812987,22,4.3710024328902364e-05,146,3.416599065531045e-05,120.0,1
parallel_fixed_exact_calls,cpu_batch,2,128,0,100,2,100,2,r105C5,0,0.0004706690087914467,exact_call_budget,2.28749995585531e-05,stage033-exact-deadline-v1,2014,2,0.0005369169812183827,44,6.624797242693603e-05,146,4.279200220480561e-05,120.0,2
serial_wall_clock,cpu_batch,1,128,0,54,2,,2,r105C5,0,0.0003741229884326458,wall_clock,1.1249998351559043e-05,stage033-exact-deadline-v1,2014,2,0.00042154100083280355,22,4.741801240015775e-05,146,2.3083004634827375e-05,,1
parallel_wall_clock,cpu_batch,2,128,0,100,2,,2,r105C5,0,0.0004426199884619564,wall_clock,2.416600182186812e-05,stage033-exact-deadline-v1,2014,2,0.0004915820027235895,44,4.896201426163316e-05,146,4.258299304638058e-05,,2
serial_fixed_exact_calls,cpu_batch,1,128,0,54,2,100,2,r105C5,0,0.0004532049788394943,exact_call_budget,2.1208004909567535e-05,stage033-exact-deadline-v1,2015,2,0.0005032909975852817,22,5.008601874578744e-05,146,5.4374992032535374e-05,120.0,1
parallel_fixed_exact_calls,cpu_batch,2,128,0,100,2,100,2,r105C5,0,0.0005270009714877233,exact_call_budget,2.2624997654929757e-05,stage033-exact-deadline-v1,2015,2,0.0005772909935330972,44,5.029002204537392e-05,146,4.6375003876164556e-05,120.0,2
serial_wall_clock,cpu_batch,1,128,0,54,2,,2,r105C5,0,0.00036254302540328354,wall_clock,1.2415999663062394e-05,stage033-exact-deadline-v1,2015,2,0.0004064170061610639,22,4.387398075778037e-05,146,2.3333006538450718e-05,,1
parallel_wall_clock,cpu_batch,2,128,0,100,2,,2,r105C5,0,0.00043620796350296587,wall_clock,2.3458997020497918e-05,stage033-exact-deadline-v1,2015,2,0.00048516700917389244,44,4.895904567092657e-05,146,4.1916995542123914e-05,,2
serial_fixed_exact_calls,cpu_batch,1,128,0,54,2,100,2,r105C5,0,0.0003540430043358356,exact_call_budget,1.1833995813503861e-05,stage033-exact-deadline-v1,2016,2,0.00039683400245849043,22,4.2790998122654855e-05,146,2.8292008209973574e-05,120.0,1
parallel_fixed_exact_calls,cpu_batch,2,128,0,100,2,100,2,r105C5,0,0.000444375051301904,exact_call_budget,2.3916989448480308e-05,stage033-exact-deadline-v1,2016,2,0.0004952090093865991,44,5.083395808469504e-05,146,4.3625012040138245e-05,120.0,2
serial_wall_clock,cpu_batch,1,128,0,54,2,,2,r105C5,0,0.0003422919398872182,wall_clock,1.0458010365255177e-05,stage033-exact-deadline-v1,2016,2,0.00038470799336209893,22,4.2416053474880755e-05,146,2.241699257865548e-05,,1
