aggregation,axis,evaluation_count,instance,label,mean_duration_seconds,seed,total_duration_seconds
operator,parallel_wall_clock,149,c101_21,greedy,0.0003438753831034664,2015,0.05123743208241649
operator,parallel_wall_clock,24,c101_21,initial_solution,0.11347149995708605,2015,2.7233159989700653
operator,parallel_wall_clock,179,c101_21,regret2,0.0002829616761073085,2015,0.05065014002320822
operator,parallel_wall_clock,10,c101_21,relocate,1.500011421740055e-07,2015,1.500011421740055e-06
operator,parallel_wall_clock,168,c101_21,route_elimination,1.1711935734465009e-07,2015,1.9676052033901215e-05
operator,parallel_wall_clock,156,c101_21,route_merge,1.32230735079457e-07,2015,2.062799467239529e-05
operator,parallel_wall_clock,36,c101_21,shaw_related,1.514991810027924e-07,2015,5.453970516100526e-06
operator,parallel_wall_clock,10,c101_21,swap,1.417021849192679e-07,2015,1.417021849192679e-06
operator,parallel_wall_clock,40,c101_21,time_window_conflict,1.4060133253224193e-07,2015,5.624053301289678e-06
operator,parallel_wall_clock,10,c101_21,two_opt_star,1.4169927453622222e-07,2015,1.4169927453622222e-06
operator,parallel_wall_clock,708,c101_21,vehicle_count_aware_repair,1.9917537285262287e-07,2015,0.000141016163979657
route,parallel_wall_clock,6,c101_21,10758,0.0021009791671531275,2015,0.012605875002918765
route,parallel_wall_clock,147,c101_21,10869,0.0015440543675573455,2015,0.22697599203092977
route,parallel_wall_clock,2,c101_21,11568,0.006831333506852388,2015,0.013662667013704777
route,parallel_wall_clock,1,c101_21,13113,0.014426791996811517,2015,0.014426791996811517
route,parallel_wall_clock,1,c101_21,13586,0.015174332991591655,2015,0.015174332991591655
route,parallel_wall_clock,151,c101_21,13732,0.0015030566425431235,2015,0.22696155302401166
route,parallel_wall_clock,151,c101_21,16123,0.0015030970990839753,2015,0.22696766196168028
route,parallel_wall_clock,1,c101_21,16304,0.012621542002307251,2015,0.012621542002307251
route,parallel_wall_clock,1,c101_21,16527,0.012418792000971735,2015,0.012418792000971735
route,parallel_wall_clock,141,c101_21,17720,0.001609641581803481,2015,0.22695946303429082
route,parallel_wall_clock,1,c101_21,18005,0.003470499999821186,2015,0.003470499999821186
route,parallel_wall_clock,1,c101_21,18107,0.005974166007945314,2015,0.005974166007945314
route,parallel_wall_clock,152,c101_21,19474,0.0014931497173261289,2015,0.2269587570335716
route,parallel_wall_clock,151,c101_21,22023,0.0015030620398581189,2015,0.22696236801857594
route,parallel_wall_clock,146,c101_21,24888,0.0015545257745742836,2015,0.2269607630878454
route,parallel_wall_clock,3,c101_21,25159,0.004128291669379299,2015,0.012384875008137897
route,parallel_wall_clock,2,c101_21,25173,0.005794374999823049,2015,0.011588749999646097
route,parallel_wall_clock,146,c101_21,25455,0.0015550496990390582,2015,0.22703725605970249
route,parallel_wall_clock,2,c101_21,25803,0.0036025839945068583,2015,0.007205167989013717
route,parallel_wall_clock,6,c101_21,26,0.0007419024987029843,2015,0.004451414992217906
route,parallel_wall_clock,141,c101_21,3197,0.0016096324404141805,2015,0.22695817409839947
route,parallel_wall_clock,1,c101_21,4508,0.016959082990069874,2015,0.016959082990069874
route,parallel_wall_clock,147,c101_21,5121,0.001543950407883013,2015,0.2269607099588029
route,parallel_wall_clock,153,c101_21,547,0.0014833949543946586,2015,0.22695942802238278
route,parallel_wall_clock,3,c101_21,7461,0.005041096999775618,2015,0.015123290999326855
route,parallel_wall_clock,148,c101_21,8203,0.0015335020810173748,2015,0.22695830799057148
operator,serial_fixed_exact_calls,75,c101_21,energy,0.00027466994749071697,2016,0.020600246061803773
operator,serial_fixed_exact_calls,299,c101_21,greedy,0.00023314115719053657,2016,0.06970920599997044
operator,serial_fixed_exact_calls,24,c101_21,initial_solution,0.08708825150279154,2016,2.090118036066997
operator,serial_fixed_exact_calls,62,c101_21,regret2,0.0002609206776175978,2016,0.016177082012291066
operator,serial_fixed_exact_calls,10,c101_21,relocate,1.3350072549656034e-07,2016,1.3350072549656034e-06
operator,serial_fixed_exact_calls,132,c101_21,route_elimination,1.1808261853840316e-07,2016,1.5586905647069216e-05
operator,serial_fixed_exact_calls,72,c101_21,route_merge,1.2966585119203148e-07,2016,9.335941285826266e-06
operator,serial_fixed_exact_calls,16,c101_21,shaw_related,1.5087425708770752e-07,2016,2.4139881134033203e-06
operator,serial_fixed_exact_calls,10,c101_21,swap,1.4999968698248267e-07,2016,1.4999968698248267e-06
operator,serial_fixed_exact_calls,40,c101_21,time_window_conflict,1.4167490007821472e-07,2016,5.666996003128588e-06
operator,serial_fixed_exact_calls,10,c101_21,two_opt_star,1.3739772839471697e-07,2016,1.3739772839471698e-06
operator,serial_fixed_exact_calls,293,c101_21,vehicle_count_aware_repair,2.2936862879098988e-07,2016,6.720500823576003e-05
route,serial_fixed_exact_calls,84,c101_21,10813,0.002073859070584322,2016,0.17420416192908306
route,serial_fixed_exact_calls,2,c101_21,11506,0.00638929149863543,2016,0.01277858299727086
route,serial_fixed_exact_calls,90,c101_21,13613,0.0019354115219256426,2016,0.17418703697330784
route,serial_fixed_exact_calls,90,c101_21,16000,0.001935439778834633,2016,0.17418958009511698
route,serial_fixed_exact_calls,86,c101_21,17570,0.002025410441748072,2016,0.17418529799033422
route,serial_fixed_exact_calls,90,c101_21,19268,0.0019353958656817365,2016,0.17418562791135628
route,serial_fixed_exact_calls,1,c101_21,19993,0.010627458003000356,2016,0.010627458003000356
route,serial_fixed_exact_calls,78,c101_21,21805,0.0022331586544915363,2016,0.17418637505033985
route,serial_fixed_exact_calls,86,c101_21,24637,0.002025437535045311,2016,0.17418762801389676
route,serial_fixed_exact_calls,6,c101_21,24907,0.0019320273349876516,2016,0.01159216400992591
route,serial_fixed_exact_calls,79,c101_21,25175,0.00220538077222425,2016,0.17422508100571577
route,serial_fixed_exact_calls,11,c101_21,26,0.0003370113660242747,2016,0.003707125026267022
route,serial_fixed_exact_calls,85,c101_21,3187,0.0020492317886023287,2016,0.17418470203119796
route,serial_fixed_exact_calls,6,c101_21,509,0.0034308960021007806,2016,0.020585376012604684
route,serial_fixed_exact_calls,85,c101_21,5098,0.002049234858714044,2016,0.17418496299069375
route,serial_fixed_exact_calls,81,c101_21,545,0.00215044235674101,2016,0.1741858308960218
route,serial_fixed_exact_calls,2,c101_21,5884,0.0069398955020005815,2016,0.013879791004001163
route,serial_fixed_exact_calls,78,c101_21,8132,0.002233139397643614,2016,0.1741848730162019
route,serial_fixed_exact_calls,2,c101_21,9252,0.01039368750207359,2016,0.02078737500414718
route,serial_fixed_exact_calls,1,c101_21,9873,0.012459958001272753,2016,0.012459958001272753
operator,parallel_fixed_exact_calls,75,c101_21,energy,0.0002814922390583282,2016,0.021111917929374613
operator,parallel_fixed_exact_calls,299,c101_21,greedy,0.00024667438141064076,2016,0.07375564004178159
operator,parallel_fixed_exact_calls,24,c101_21,initial_solution,0.12200233712610498,2016,2.9280560910265194
operator,parallel_fixed_exact_calls,62,c101_21,regret2,0.0002870953532927219,2016,0.017799911904148757
operator,parallel_fixed_exact_calls,10,c101_21,relocate,1.4189863577485086e-07,2016,1.4189863577485085e-06
operator,parallel_fixed_exact_calls,132,c101_21,route_elimination,1.196742893873968e-07,2016,1.5797006199136376e-05
operator,parallel_fixed_exact_calls,72,c101_21,route_merge,2.314874210343179e-07,2016,1.6667094314470887e-05
operator,parallel_fixed_exact_calls,16,c101_21,shaw_related,1.5100158634595573e-07,2016,2.4160253815352917e-06
operator,parallel_fixed_exact_calls,10,c101_21,swap,1.461012288928032e-07,2016,1.461012288928032e-06
operator,parallel_fixed_exact_calls,40,c101_21,time_window_conflict,1.4797478797845542e-07,2016,5.918991519138217e-06
operator,parallel_fixed_exact_calls,10,c101_21,two_opt_star,1.4169927453622222e-07,2016,1.4169927453622222e-06
operator,parallel_fixed_exact_calls,293,c101_21,vehicle_count_aware_repair,1.8801730056213846e-07,2016,5.5089069064706564e-05
route,parallel_fixed_exact_calls,84,c101_21,10813,0.0029050431774175238,2016,0.244023626903072
route,parallel_fixed_exact_calls,2,c101_21,11506,0.006863542002975009,2016,0.013727084005950019
route,parallel_fixed_exact_calls,90,c101_21,13613,0.002711336610567135,2016,0.24402029495104216
route,parallel_fixed_exact_calls,90,c101_21,16000,0.0027113051223245244,2016,0.24401746100920718
route,parallel_fixed_exact_calls,86,c101_21,17570,0.0028373687088132163,2016,0.24401370895793661
route,parallel_fixed_exact_calls,90,c101_21,19268,0.0027112625996879715,2016,0.24401363397191744
route,parallel_fixed_exact_calls,1,c101_21,19993,0.011122749987407587,2016,0.011122749987407587
route,parallel_fixed_exact_calls,78,c101_21,21805,0.00312838406441584,2016,0.2440139570244355
route,parallel_fixed_exact_calls,86,c101_21,24637,0.002837393895132727,2016,0.24401587498141453
route,parallel_fixed_exact_calls,6,c101_21,24907,0.0021433123329188675,2016,0.012859873997513205
route,parallel_fixed_exact_calls,79,c101_21,25175,0.0030892194431832156,2016,0.24404833601147402
route,parallel_fixed_exact_calls,11,c101_21,26,0.0003943220958304168,2016,0.004337543054134585
route,parallel_fixed_exact_calls,85,c101_21,3187,0.002870739729705212,2016,0.244012877024943
route,parallel_fixed_exact_calls,6,c101_21,509,0.0035161875008877055,2016,0.021097125005326234
route,parallel_fixed_exact_calls,85,c101_21,5098,0.002870747071232044,2016,0.24401350105472375
route,parallel_fixed_exact_calls,81,c101_21,545,0.003012516014105468,2016,0.2440137971425429
route,parallel_fixed_exact_calls,2,c101_21,5884,0.007464812500984408,2016,0.014929625001968816
route,parallel_fixed_exact_calls,78,c101_21,8132,0.003128375640909116,2016,0.24401329999091104
route,parallel_fixed_exact_calls,2,c101_21,9252,0.010536542002228089,2016,0.021073084004456177
route,parallel_fixed_exact_calls,1,c101_21,9873,0.013456291999318637,2016,0.013456291999318637
operator,serial_wall_clock,107,c101_21,energy,0.0002835276263285098,2016,0.030337456017150544
operator,serial_wall_clock,299,c101_21,greedy,0.00023718706346163683,2016,0.07091893197502941
operator,serial_wall_clock,24,c101_21,initial_solution,0.08999823929116246,2016,2.159957742987899
operator,serial_wall_clock,119,c101_21,regret2,0.0002542112096987602,2016,0.030251133954152465
operator,serial_wall_clock,10,c101_21,relocate,1.5409896150231362e-07,2016,1.5409896150231361e-06
operator,serial_wall_clock,132,c101_21,route_elimination,1.3065933175808328e-07,2016,1.724703179206699e-05
operator,serial_wall_clock,156,c101_21,route_merge,1.2879499058143642e-07,2016,2.009201853070408e-05
operator,serial_wall_clock,24,c101_21,shaw_related,1.8929313227999955e-07,2016,4.543035174719989e-06
operator,serial_wall_clock,10,c101_21,swap,1.7900019884109496e-07,2016,1.7900019884109497e-06
operator,serial_wall_clock,50,c101_21,time_window_conflict,1.4671968529000878e-07,2016,7.335984264500439e-06
operator,serial_wall_clock,10,c101_21,two_opt_star,1.2919772416353225e-07,2016,1.2919772416353226e-06
operator,serial_wall_clock,785,c101_21,vehicle_count_aware_repair,2.107045028928169e-07,2016,0.00016540303477086127
route,serial_wall_clock,142,c101_21,10813,0.001267842118977569,2016,0.1800335808948148
route,serial_wall_clock,2,c101_21,11506,0.007065812998916954,2016,0.014131625997833908
route,serial_wall_clock,146,c101_21,13613,0.0012329648833320004,2016,0.18001287296647206
route,serial_wall_clock,2,c101_21,15432,0.004999749995477032,2016,0.009999499990954064
route,serial_wall_clock,146,c101_21,16000,0.0012329962400182098,2016,0.18001745104265865
route,serial_wall_clock,141,c101_21,17570,0.001276678786735242,2016,0.1800117089296691
route,serial_wall_clock,148,c101_21,19268,0.0012163359256314957,2016,0.18001771699346136
route,serial_wall_clock,1,c101_21,19993,0.010265749995596707,2016,0.010265749995596707
route,serial_wall_clock,134,c101_21,21805,0.001343381484933962,2016,0.1800131189811509
route,serial_wall_clock,144,c101_21,24637,0.0012501102082751459,2016,0.180015869991621
route,serial_wall_clock,6,c101_21,24907,0.0020069441646531536,2016,0.01204166498791892
route,serial_wall_clock,135,c101_21,25175,0.001333995386677863,2016,0.18008937720151152
route,serial_wall_clock,11,c101_21,26,0.0003877422740598294,2016,0.004265165014658123
route,serial_wall_clock,143,c101_21,3187,0.001258811482571886,2016,0.1800100420077797
route,serial_wall_clock,6,c101_21,509,0.003386409839246577,2016,0.020318459035479464
route,serial_wall_clock,137,c101_21,5098,0.0013139477006226003,2016,0.18001083498529624
route,serial_wall_clock,139,c101_21,545,0.0012950606401482088,2016,0.18001342898060102
route,serial_wall_clock,2,c101_21,5884,0.007119791996956337,2016,0.014239583993912674
route,serial_wall_clock,2,c101_21,6740,0.006606791997910477,2016,0.013213583995820954
route,serial_wall_clock,136,c101_21,8132,0.001323617081010632,2016,0.18001192301744595
route,serial_wall_clock,2,c101_21,9252,0.010099125000124332,2016,0.020198250000248663
route,serial_wall_clock,1,c101_21,9873,0.01275300000270363,2016,0.01275300000270363
operator,parallel_wall_clock,107,c101_21,energy,0.00029796891599332163,2016,0.03188267401128542
operator,parallel_wall_clock,299,c101_21,greedy,0.00024522383910304804,2016,0.07332192789181136
operator,parallel_wall_clock,24,c101_21,initial_solution,0.11909006391518535,2016,2.8581615339644486
